user,url,id,desc,music,likes,comments,shares,views,date,challenges,duration
dubbrasil,https://m.tiktok.com/v/7135892302416989445,7135892302416989445,Vale a pena pra mim? #gtr #nissangtr #gtrr35 #jdmbrasil #exclusivosbr #jetta #jettatsi #dsg #jettagli #vwjetta,som original,135400,270,252,2000000,2022-08-25 19:06:44+00:00,"jdmbrasil, gtr, dsg, jettagli, jetta, gtrr35, nissangtr, vwjetta, exclusivosbr, jettatsi",14
amantesdecarros10,https://m.tiktok.com/v/7246907928064625926,7246907928064625926,Ah se viesse para o Brasil!! 😍🙏🏻 #carrojetta #volkswagen #carrosdeluxo #carrosedan #jetta #carrosedan #tiktokcarros #amantesdecarros ,original sound,135400,1736,24100,6600000,2023-06-20 23:04:02+00:00,"carrosedan, amantesdecarros, volkswagen, carrosdeluxo, jetta, tiktokcarros, carrojetta",10
silkyslowjetta.mk7,https://m.tiktok.com/v/7143987078110432517,7143987078110432517,🥰🥰 #fypage #fypシ゚viral #foryoupage #carsoftiktok #jetta #fyp #relatable #funny #trending #relationship #cartok #myristorantecreation ,original sound,134800,521,6557,1000000,2022-09-16 14:38:33+00:00,"trending, fypage, fyp, carsoftiktok, cartok, myristorantecreation, jetta, fypシ゚viral, foryoupage, relatable, funny, relationship",5
cesarmopar,https://m.tiktok.com/v/7191293293056036102,7191293293056036102,Los motores me teanquilizan #TikTokAwards #jettajesse #fastandfurious #jetta #mk3 #losmotoresmetranquilizan ,sonido original,134400,200,845,651500,2023-01-22 02:10:56+00:00,"losmotoresmetranquilizan, jettajesse, jetta, tiktokawards, fastandfurious, mk3",15
violetsummersby,https://m.tiktok.com/v/48326686248812544,48326686248812544,#winterfun #sledding with @georgepadillagp #Supermuseraward #happynewyear2016 #howaboutnow #featureme ,I'd love to change the world (matstubs remix),133000,418,7,138400,2016-01-03 23:44:54+00:00,"winterfun, jetta, featureme, sledding, supermuseraward, happynewyear2016",14
verissimo_garage,https://m.tiktok.com/v/7196722760087915781,7196722760087915781,“ai prefiro jetta stg5” nf kkkkkkk ##fy##jettagli##jetta##jettatsi,som original,132800,1226,758,1400000,2023-02-05 17:19:58+00:00,"fy, jettagli, jetta, jettatsi",8
vhcstudio,https://m.tiktok.com/v/7073984657670343942,7073984657670343942,Welcome to your jetta #vwjetta #jettavariant #jettatsibrasil #vwbora #jettamk4 #audi #gti #passat #golfgti #golfmk7 #jetta #jettagli #jettamk5 #volkslovers #rline #tiguan #bagged #cardesign #bagged #golfr32 #vwfox #golfmk4,original sound,132800,357,788,13800000,2022-03-11 23:13:24+00:00,"vwjetta, vwbora, tiguan, jetta, gti, volkslovers, golfr32, audi, jettavariant, passat, jettamk4, jettatsibrasil, golfmk7, jettamk5, jettagli, cardesign, vwfox, bagged, rline, golfgti, golfmk4",5
baggedjet,https://m.tiktok.com/v/7232812632648994053,7232812632648994053,CLEAN ENOUGH?                                           #fyp #jetta #stancethugs #foryoupage #vwmk5 #CapCut ,original sound,132800,474,1409,3700000,2023-05-13 23:27:04+00:00,"fyp, jetta, foryoupage, capcut, vwmk5, stancethugs",8
el5papi,https://m.tiktok.com/v/7009087286679735558,7009087286679735558,Reply to @isasiddiqui16 #ZFlipClackdown #jetta #volkswagen #vw #assortitschallenge #hersmile #toxic #simp,original sound,132500,464,197,3200000,2021-09-18 01:58:25+00:00,"assortitschallenge, hersmile, jetta, volkswagen, vw, toxic, simp, ZFlipClackdown",9
itssjettaa,https://m.tiktok.com/v/6886478749081029894,6886478749081029894,Oops Where you slide from😌#foryoupage #rockincollege #fyp #jetta,original sound,261200,1519,2897,1300000,2020-10-22 16:15:42+00:00,"RockinCollege, foryoupage, fyp, jetta",8
lexiedeluca,https://m.tiktok.com/v/61026802579615744,61026802579615744,We love to change to the world💕 #featureme #squadgoalschallenge #unicornchallenge #sb50 #featureus,I'd love to change the world (matstubs remix),130300,394,2,37100,2016-02-08 00:50:38+00:00,"featureus, squadgoalschallenge, sb50, featureme, jetta",0
adrianhdz.mk4,https://m.tiktok.com/v/7242024621694782725,7242024621694782725,#jetta #viralvideo #waraudio #spaudio #caraudiosystem #vw #parati #fyppppppppppppppppppppppp ,sonido original,256800,1251,4887,1900000,2023-06-07 19:14:19+00:00,"spaudio, caraudiosystem, viralvideo, vw, parati, fyppppppppppppppppppppppp, jetta, waraudio",33
evo_sub.zero,https://m.tiktok.com/v/7188166786536328454,7188166786536328454,É raro mais acontece mkkkk #tsi #jetta #lancer #meme ,som original,128100,539,813,1200000,2023-01-13 15:58:24+00:00,"tsi, jetta, meme, lancer",7
itssjettaa,https://m.tiktok.com/v/6931454781407907078,6931454781407907078,Questionable?🙄😒 #rockincollege #foryou #xcyzba #jetta,original sound,127100,1753,7892,469200,2021-02-20 21:04:46+00:00,"jetta, RockinCollege, foryou, xcyzba",9
davidsterman,https://m.tiktok.com/v/92578401810558976,92578401810558976,Volcom Pro #wonderfullife #myparadise #featureme #dailylife,I'd love to change the world (matstubs remix),126900,449,7,48700,2016-05-05 02:25:25+00:00,"jetta, wonderfullife, myparadise, featureme, dailylife",14
el5papi,https://m.tiktok.com/v/7022141218696039685,7022141218696039685,Reply to @hitemwitthebiggay you're right #washing #jetta #gti #vw #volkswagen #fyp #wagon #golf #fueling #fueling #driveby,original sound,126500,731,2867,1100000,2021-10-23 06:14:23+00:00,"wagon, washing, volkswagen, gti, golf, vw, fyp, driveby, fueling, jetta",9
harrybeetz,https://m.tiktok.com/v/6818997355438820614,6818997355438820614,Since Facebook and the gram liked it what will happen here ?? #longdoorjetta #turbo #goingpro #promlook #jetta #custom #broke,Devil Eyes,126400,1051,7993,1900000,2020-04-23 19:52:24+00:00,"turbo, jetta, custom, broke, promlook, longdoorjetta, goingpro",14
wrx_manny,https://m.tiktok.com/v/6853946096578743558,6853946096578743558,#fastandfurious #dom #toretto #supra #vw #jetta #hondacivic #skyline #1320video #jdm #foryoupage #fyp #muscle #eclipse #mitsubishi,Rollout (My Business),1300000,6933,41000,16000000,2020-07-27 00:11:24+00:00,"skyline, supra, muscle, 1320video, eclipse, hondacivic, dom, toretto, jetta, foryoupage, jdm, fyp, mitsubishi, vw, fastandfurious",15
gavingoodale,https://m.tiktok.com/v/7257357785787141418,7257357785787141418,Replying to @emma🪽   #cleartails #clear #cleartheworld #blowup #jetta #florida #volkswagen ,TAY K PAIN 1993,123300,721,386,3300000,2023-07-19 02:55:01+00:00,"volkswagen, cleartails, clear, cleartheworld, blowup, jetta, florida",9
noah_needs_clout_,https://m.tiktok.com/v/87077037277884416,87077037277884416,1-1 so far!!!! Close game  #featureme #featurethis  #sports,I'd love to change the world (matstubs remix),123100,229,1,23600,2016-04-19 22:04:58+00:00,"featurethis, featureme, sports, jetta",15
ruinedfenders,https://m.tiktok.com/v/7148476198320901418,7148476198320901418,bmw barbos wheels coming in clutch 😵‍💫 #hurricaneian #florida #floridacheck #hurricane #hurricanecheck #hurricaneseason #cartok #fl #carsoftiktok #stance #static #fearofdyin #ool #vw #vag #jetta #HausLabsFoundation #fypシ #fyp #hurricaneian2022 #hurricaneianiscoming ,original sound,123000,1205,491,1200000,2022-09-28 16:59:01+00:00,"static, ool, hurricanecheck, fl, hurricaneian2022, HausLabsFoundation, hurricane, hurricaneseason, fearofdyin, vw, cartok, floridacheck, florida, jetta, stance, fyp, vag, carsoftiktok, fypシ, hurricaneian, hurricaneianiscoming",12
plix22,https://m.tiktok.com/v/6893607517541125377,6893607517541125377,👉 Nice Work #fy #foryou #fyp #jetta #golf2,Deep End,122800,856,16000,1300000,2020-11-10 21:17:58+00:00,"foryou, fyp, jetta, golf2, fy",27
andretsi_,https://m.tiktok.com/v/7202040678992432389,7202040678992432389,Pode vim  #jetta #carros #humo ,som original,121500,487,673,925100,2023-02-20 01:16:17+00:00,"humo, jetta, carros",9
fucknewcars,https://m.tiktok.com/v/7260216221742730522,7260216221742730522,@Mk2Dude  __________________ #vwgolf2rallye #golf2 #mk2 #golfmk2 #fame #vwlove #vwscene #vwperformance #mk2society #mk2crew #g60 #carlover #mk2clique #niftysnpbcks #corrado #jetta #burnallmk2s #mk2crew #jetta2 #votex #gti #mk1 #mk3 #fifft #nifty #rabbit #digifiz #orciari #kamei  _________,Bad To The Bone,119600,712,5237,1700000,2023-07-26 19:47:00+00:00,"vwlove, jetta, gti, vwscene, mk2, mk2crew, vwperformance, votex, g60, digifiz, golfmk2, corrado, niftysnpbcks, nifty, burnallmk2s, carlover, rabbit, fame, mk2clique, fifft, jetta2, orciari, kamei, mk2society, vwgolf2rallye, golf2, mk1, mk3",12
kruegerf_ups,https://m.tiktok.com/v/6815331767516400901,6815331767516400901,Bought not built you filthy haters #keepingbusy #alh #tdi #stack #volkswagen #jetta #powerhouse #fyp #foryou #foryoupage,original sound,118900,569,15000,1900000,2020-04-13 22:48:04+00:00,"fyp, keepingbusy, foryou, tdi, alh, powerhouse, volkswagen, jetta, stack, foryoupage",8
englishman_in_africa,https://m.tiktok.com/v/7146313367328738565,7146313367328738565,"Batteries linked, ground cable in, positive next #bora #jetta #budgetbass #pioneerbuild",Confusion,118800,715,1340,5000000,2022-09-22 21:05:46+00:00,"budgetbass, pioneerbuild, bora, jetta",50
elbandolero93,https://m.tiktok.com/v/6921617901493570818,6921617901493570818,crazy chinese ... respect this work #jetta #mk7 #vag #tunerlifestyle  #fy #fyp #foryoupage,Originalton,118600,1068,20900,1900000,2021-01-25 08:52:33+00:00,"fyp, foryoupage, vag, tunerlifestyle, jetta, mk7, fy",59
jossmendoz4,https://m.tiktok.com/v/7084328584814284037,7084328584814284037,cuál es tu favorito? #vw #jetta #nissansentra #nissantsuru #vwbeetle #autos #autosmexico,sonido original,116700,436,475,1600000,2022-04-08 20:13:05+00:00,"nissantsuru, vwbeetle, autosmexico, nissansentra, vw, jetta, autos",21
exoticscuu,https://m.tiktok.com/v/7000397258927705350,7000397258927705350,Responder a @bosekbl Por siempre los traían A MADRE? 😅 #vw #bora #gli #jetta #mkiv #gti #golf #volkswagen #humor,"Vivaldi ""Four Seasons"" ""Spring""",114800,1786,2467,1800000,2021-08-25 15:56:41+00:00,"jetta, gli, bora, volkswagen, golf, humor, mkiv, vw, gti",54
jettaostg3,https://m.tiktok.com/v/7188228996813950213,7188228996813950213,🫢🚀🔥 #jettatsi #jetta ,Sorrisin de Puto,113700,205,1644,1300000,2023-01-13 19:59:49+00:00,"jetta, jettatsi",8
eastern_legends,https://m.tiktok.com/v/7168518928296135942,7168518928296135942,Porsche swapped Mk6 Jetta! #engineswap #vr6 #mk6jetta #volkswaggen #jetta #v6 #fyp #foryourpage ,FreakyT x TiaCorine,113700,719,2230,633300,2022-11-21 17:14:39+00:00,"mk6jetta, volkswaggen, v6, engineswap, vr6, jetta, fyp, foryourpage",6
smokeyyytdi,https://m.tiktok.com/v/6931376502437203206,6931376502437203206,"TDI’s got different moods, she a tractor today 🚜  #tractor #diesel #car #foryoupage #xyzbca #tdi #turbo #jetta #tiktok #foryou #fyp  #exhaust",original sound,112400,276,2069,1200000,2021-02-20 16:01:04+00:00,"car, foryou, tdi, diesel, foryoupage, jetta, fyp, exhaust, turbo, tiktok, xyzbca, tractor",23
dxnielbennett,https://m.tiktok.com/v/6849822991132429574,6849822991132429574,Frequent flyer at your local Starbucks #meetthequalifications #starbucks #icedcoffee #jetta #college #highschool,original sound,110800,829,7336,744100,2020-07-15 21:31:38+00:00,"starbucks, icedcoffee, college, highschool, meetthequalifications, jetta",48
andredopolo,https://m.tiktok.com/v/6956658295000091909,6956658295000091909,Não gosto desses joguinhos... #jetta #carrobaixo #rebaixados #humorautomotivo #fy #namorados @jhevilarim,som original,110700,641,5800,1800000,2021-04-29 19:07:11+00:00,"namorados, humorautomotivo, jetta, carrobaixo, rebaixados, fy",18
thefastsaga0,https://m.tiktok.com/v/7061811710335716614,7061811710335716614,Hay más de 100 mil dólares en el motor de ese auto 🔥 #brianoconner #brianoconneredit #jesse #fastandfurious #rapidosyfuriosos #honda2000 #jetta @realchadlindberg,Bandoleros,109700,240,531,1400000,2022-02-07 03:56:09+00:00,"fastandfurious, rapidosyfuriosos, jetta, jesse, honda2000, brianoconner, brianoconneredit",59
toasty_ind,https://m.tiktok.com/v/6990578520674110726,6990578520674110726,#2step #jetta #mk4 #volkswagen #foryoupage #fyp #fypシ #cars #race #mk4jetta #gti #gli,2055,109300,384,1968,1300000,2021-07-30 04:54:59+00:00,"mk4jetta, race, gti, 2step, foryoupage, fyp, volkswagen, jetta, cars, gli, mk4, fypシ",9
jetta__016,https://m.tiktok.com/v/7013477632679431429,7013477632679431429,#jetta #carrorebaixado #aro20 #suspensaoaar #vw #foryou #fy #cars,som original,109000,245,2988,1900000,2021-09-29 21:55:13+00:00,"aro20, jetta, carrorebaixado, suspensaoaar, vw, foryou, fy, cars",11
omegasimple25,https://m.tiktok.com/v/7095436315033996550,7095436315033996550,#pegar un video de @sc4mb4g tengo años usando un jetta 2004 y es la primera vez que lo intento jajaj #auto #jetta #volkswagen,sonido original,107600,1032,2200,1500000,2022-05-08 18:36:46+00:00,"auto, volkswagen, jetta, pegar",41
vagovod0110,https://m.tiktok.com/v/7138738687164108038,7138738687164108038,Кто такой же?🤷🏻‍♂️ #рек #авто #харьков #vw #украина #fyp #топ #jetta ,оригинальный звук - Юрий Николаенко,107200,590,3880,1500000,2022-09-02 11:12:08+00:00,"fyp, топ, харьков, jetta, рек, авто, vw, украина",7
gli_puromk7,https://m.tiktok.com/v/7078106980870573317,7078106980870573317,#jetta #jettagli 😏🔥🚀,som original,107000,288,1467,904600,2022-03-23 01:50:06+00:00,"jetta, jettagli",9
g1ng3_ow3n,https://m.tiktok.com/v/7151414983375686918,7151414983375686918,The past changes you🤝🏻 #volkswagen #slammed #static #irishcarscene #portcarscene #ukcarscene #trending #germanwhip #bora #vwbora #mk4 #mk4jetta #jetta ,orijinal ses,105600,1135,6032,1200000,2022-10-06 15:02:40+00:00,"trending, bora, germanwhip, portcarscene, mk4, jetta, mk4jetta, irishcarscene, ukcarscene, slammed, volkswagen, vwbora, static",6
beatboxhiss,https://m.tiktok.com/v/6981780343854484738,6981780343854484738,Song 🎵 VS Mouth 👄 #Jetta  #idlovetochangetheworld #trap #trapnation #edm #Beatbox #Hiss #OnlyMouth #soonent #noinstrument,I'd Love To Change The World - Matstubs Remix,105400,523,477,738200,2021-07-06 11:53:35+00:00,"beatbox, hiss, idlovetochangetheworld, soonent, jetta, edm, onlymouth, trap, noinstrument, trapnation",20
issaitgc,https://m.tiktok.com/v/7078044725269253382,7078044725269253382,Poco a poco vamos avanzando 🍀✌🏼✨ #nitrous #proyecto #autos #Mexa #fypシ #jetta #Hidalgo #volkswagen #vw #mk4 #arrancones,sonido original,105300,719,1293,846200,2022-03-22 21:48:30+00:00,"mk4, nitrous, vw, fypシ, proyecto, jetta, hidalgo, arrancones, volkswagen, mexa, autos",10
jeezorito,https://m.tiktok.com/v/7231738902665727278,7231738902665727278,aint no way #hellcat #mopar #dodge #vw #jetta #cartok #cartiktok ,original sound,104000,1624,3126,778900,2023-05-11 02:00:38+00:00,"hellcat, vw, jetta, cartok, cartiktok, mopar, dodge",5
daian.garagemautocenter,https://m.tiktok.com/v/7083278333751987462,7083278333751987462,#Jetta #chevette #gm #volks,som original,103400,1212,13000,3500000,2022-04-06 00:17:35+00:00,"jetta, chevette, gm, volks",44
flatfootshenanigans,https://m.tiktok.com/v/6886180934119329026,6886180934119329026,It’s a pretty cool ride. #cartiktok #volkswagen #jetta #diesel #truck #drifting,original sound,101100,1248,3846,630400,2020-10-21 20:59:03+00:00,"truck, drifting, cartiktok, volkswagen, jetta, diesel",59
lucas_bortollini,https://m.tiktok.com/v/7246113841757670662,7246113841757670662,Respect #gearhead #01naoé02 #fy #fyp #viral #jetta ,som original,99400,353,1727,552400,2023-06-18 19:42:34+00:00,"gearhead, fy, fyp, viral, jetta, 01naoé02",21
macie.mk6,https://m.tiktok.com/v/6938155332296330501,6938155332296330501,proud of what i’ve done to this car lol. #fyp #cargirl #carsoftiktok #volkswagen #jetta #carguy,Call me,99100,1514,826,581400,2021-03-10 22:26:15+00:00,"jetta, fyp, carsoftiktok, volkswagen, carguy, cargirl",59
itssjettaa,https://m.tiktok.com/v/6923166419450432773,6923166419450432773,Good morning 😏💔 #foryou #rockincollege #viral #jetta,original sound,97200,2673,1908,546400,2021-01-29 13:01:51+00:00,"jetta, foryou, viral, RockinCollege",12
lowvolkss,https://m.tiktok.com/v/6845792843848502533,6845792843848502533,follow on IG: @lowvolks for more updates #volkswagen #jetta #vw #vwjetta #fitment #showcar #carsoftiktok #cars #stretch #fyp #foryourpage,That's Tuff,94900,495,256,1200000,2020-07-05 00:52:37+00:00,"jetta, vwjetta, stretch, fyp, volkswagen, vw, foryourpage, fitment, cars, showcar, carsoftiktok",24
itssjettaa,https://m.tiktok.com/v/6925173087428267269,6925173087428267269,Remember this face when I pop out 🤮💕#rockincollege #foryou #viral #jetta,Anybody slowed,94400,5655,2849,382100,2021-02-03 22:48:40+00:00,"RockinCollege, foryou, viral, jetta",13
garagem_apr,https://m.tiktok.com/v/7152523105598983429,7152523105598983429,#CapCut #jetta #meuvw #jettamk7 #jettatsi #volkswagen #tsi #vwjetta ,som original,94300,369,552,616600,2022-10-09 14:42:45+00:00,"jettatsi, tsi, capcut, jetta, volkswagen, vwjetta, meuvw, jettamk7",18
mecadimenina,https://m.tiktok.com/v/6844365428228164870,6844365428228164870,Não são só homens q gostam de carros! Meu bb 🥰 #jetta #jettatsi #volkswagen #carrobaixo #choraboyedemenina  #dinamometro #carroturbo #clubdojetta,goosebumps,94200,721,1625,796500,2020-07-01 04:33:34+00:00,"choraboyedemenina, dinamometro, carroturbo, clubdojetta, jetta, jettatsi, volkswagen, carrobaixo",19
anjaajovanovic,https://m.tiktok.com/v/97179807016239104,97179807016239104,Try not to laugh challenge with Margrethe💕 #TryNotToLaugh #Sqaud #Breakitdown #FeatureMe #ThankYouAlbum,I'd love to change the world (matstubs remix),94100,166,18,95600,2016-05-17 19:09:46+00:00,"jetta, sqaud, thankyoualbum, trynottolaugh, featureme",5
ericnokaj,https://m.tiktok.com/v/6798250313221557509,6798250313221557509,#fyp #cars #mechanic #drift #car #volkswagen #race #carchallenge #foryoupage #viral #carcommunity #hellcat #gti #audi #turbo #boosted #fast #vw #jetta,original sound,93400,506,6520,1400000,2020-02-27 22:03:19+00:00,"fyp, audi, foryoupage, turbo, viral, hellcat, drift, gti, carcommunity, carchallenge, vw, mechanic, car, boosted, jetta, fast, volkswagen, race, cars",15
ahmettas50,https://m.tiktok.com/v/7087187092261833985,7087187092261833985,@kadirbulutt kişisine yanıt verin buyur kardeşim #vw #jetta #passatb8 #audı #bmw #dayno #hız #keşfet #fyp,orijinal ses,92500,2230,332,3600000,2022-04-16 13:05:34+00:00,"dayno, keşfet, jetta, bmw, vw, fyp, passatb8, audı, hız",22
projetosincriveis,https://m.tiktok.com/v/7234888808674725126,7234888808674725126,Jetta GLI MK7🔥🔥🔥🚀 #je  #jetta #mk7  #carrosrebaixados  . inst @mk7projects,som original,92400,352,1485,587400,2023-05-19 13:43:40+00:00,"carrosrebaixados, je, mk7, jetta",0
valonsylaj,https://m.tiktok.com/v/7118425901385223467,7118425901385223467,"Big cammed Jetta, I’ll post a 2step video if i get 5 likes. #volkswagen #jetta #gli #18turbo #boosted #cammed #chop #modified #checkenginelight #mk4",original sound,92300,1036,2523,808200,2022-07-09 17:28:08+00:00,"18turbo, chop, volkswagen, checkenginelight, boosted, gli, cammed, modified, mk4, jetta",19
fastdriveco,https://m.tiktok.com/v/7181622313333312773,7181622313333312773,¿Pensando en comprar carro? 🛍️🚘🧾 Qué tal un JETTA 😃 #jetta #volkswagen #carrosviejosparagentejoven #volkswagenjetta #comprarcarro #volkswagengolf #volkswagenbora #colombia #autos #tiktokautos #carros ,Bloody mary,91600,648,577,1000000,2022-12-27 00:42:33+00:00,"tiktokautos, carros, volkswagenbora, volkswagen, colombia, volkswagenjetta, volkswagengolf, jetta, carrosviejosparagentejoven, autos, comprarcarro",118
crybaby.mk4,https://m.tiktok.com/v/7215766449527262506,7215766449527262506,yuh issa lil stiff #carsoftiktok #fyp #jetta #foryou #static #vw #loweredcars #camber #stance #lowaf ,original sound,91300,603,524,618300,2023-03-29 00:59:18+00:00,"static, vw, carsoftiktok, stance, loweredcars, fyp, foryou, jetta, camber, lowaf",8
soycarlosaguilar1,https://m.tiktok.com/v/7096677698013039877,7096677698013039877,😱#lifetips #SoulDancers #jetta #verdadomentira,She Share Story (for Vlog),91200,738,1343,3000000,2022-05-12 02:54:01+00:00,"jetta, SoulDancers, verdadomentira, lifetips",20
fama.gusta,https://m.tiktok.com/v/7144298284981456134,7144298284981456134,Legends👑 #delorean #charger #herbie #jetta #db5 #mrbean #mini #taxi #r34 #knightrider #christine #veilside #subaru #batmobile #supra #madmax #evo #tokyodrift #ferrisbueller #ferrari ,eredeti hang,90900,1159,1909,482300,2022-09-17 10:46:16+00:00,"mrbean, ferrisbueller, db5, herbie, taxi, madmax, delorean, knightrider, r34, supra, mini, veilside, tokyodrift, subaru, evo, christine, ferrari, batmobile, jetta, charger",18
ckargarage,https://m.tiktok.com/v/7153773796388801797,7153773796388801797,"Ckar Garage no YouTube, segue lá...🤟🏻🤟🏻 #jetta #jettarline #jettagli #jettamk #volkswagen #vw #virtus #polo #adrenalinabycs #ckargarage @ckargarage ",som original,89700,432,13100,3400000,2022-10-12 23:36:02+00:00,"ckargarage, virtus, polo, jetta, jettamk, volkswagen, adrenalinabycs, jettagli, vw, jettarline",28
smokeyyytdi,https://m.tiktok.com/v/6933741244573125894,6933741244573125894,Anybody need to use the bathroom?               #diesel #car #foryoupage #xyzbca #tdi #turbo #jetta #tiktok #foryou #fyp #exhaust,original sound,89700,598,4025,902400,2021-02-27 00:57:33+00:00,"tdi, jetta, turbo, tiktok, diesel, foryoupage, exhaust, car, fyp, xyzbca, foryou",33
thatonedumbkid2.69,https://m.tiktok.com/v/7203423229824781611,7203423229824781611,@_mike121 #mk4 #jetta #carcommunity #trust #loyal #staytoxic #foryou #fyp #trusttheprocess ,som original,88900,516,4526,863900,2023-02-23 18:41:18+00:00,"fyp, staytoxic, foryou, trusttheprocess, carcommunity, loyal, jetta, trust, mk4",5
jaouad438,https://m.tiktok.com/v/7113728178102750469,7113728178102750469,#volkswagen #jetta #auto #mk,الصوت الأصلي,87100,567,5972,1600000,2022-06-27 01:38:37+00:00,"jetta, auto, mk, volkswagen",57
mario__35,https://m.tiktok.com/v/7206432188651277611,7206432188651277611,Someone find this car so i can buy it back #fyp #fypシ #foryoupage #cars #trending #jetta #gli #volkswagen #carsoftiktok #imy #tiktok  ,original sound,86800,727,509,1000000,2023-03-03 21:17:32+00:00,"imy, cars, tiktok, volkswagen, foryoupage, gli, trending, carsoftiktok, fyp, fypシ, jetta",11
itssjettaa,https://m.tiktok.com/v/6857952352171756806,6857952352171756806,Thank to everyone who has done my dance 💪🏽❤️#jetta #fyp #foryourpage,Ranada,86800,785,756,476400,2020-08-06 19:17:46+00:00,"jetta, fyp, foryourpage",15
jonah.mk4,https://m.tiktok.com/v/7207573686168161579,7207573686168161579,Das auto#mk4 #jetta #carsoftiktok #fyp #cartok #carcommunity ,original sound,86600,921,8035,1000000,2023-03-06 23:07:16+00:00,"jetta, carsoftiktok, fyp, carcommunity, cartok, mk4",6
officialworstmechanic,https://m.tiktok.com/v/7128141259453025579,7128141259453025579,#answer to @natural_yary4 This is how men clean their hands #fyp #fastorange #mechanic #mechanicsoftiktok #cartok #cleantok #autozone #brakeclean #ReTokforNature #vw #tdi #jetta #tdipower,It's Corn,84400,747,493,3300000,2022-08-04 21:48:39+00:00,"mechanicsoftiktok, fyp, vw, tdipower, mechanic, fastorange, brakeclean, ReTokforNature, cleantok, answer, cartok, autozone, tdi, jetta",14
proyect_devil_mk4,https://m.tiktok.com/v/7162975426430749958,7162975426430749958,tener auto es lo más importante 😋#puebla #pueblacity #jettamk4club #jettamk4life💛😎🤙 #vwlovers❤ #jettamk4 #jetta #autostunning🏍️🚘🔥🔥 #tuning #tuningcars #viral #parati #PARATI #fyg ,sonido original,81200,465,7309,1900000,2022-11-06 18:43:04+00:00,"puebla, pueblacity, jetta, tuningcars, jettamk4life💛😎🤙, autostunning🏍️🚘🔥🔥, parati, jettamk4club, viral, fyg, jettamk4, vwlovers❤, tuning",6
diegoponce300,https://m.tiktok.com/v/6994623548430060806,6994623548430060806,El Piolin🐥 #volkswagen #mk3#suelta#jetta #euro,Get You the Moon,81100,455,437,1100000,2021-08-10 02:31:44+00:00,"jetta, volkswagen, mk3, euro, suelta",41
thesfour,https://m.tiktok.com/v/7193114912774769926,7193114912774769926,For those of u asking what two step sounds like from the other side  #euro#vw#vdub#audi#jetta#s4#a4#audicanada#quattro#eurocars#staticeuro#b8society#germancar#germanengineering#yeg#yegcars#alberta ,original sound,81000,490,935,697500,2023-01-26 23:59:43+00:00,"audicanada, jetta, euro, alberta, eurocars, audi, vdub, germanengineering, staticeuro, a4, yegcars, yeg, germancar, quattro, b8society, s4, vw",5
brys_mk6jetta,https://m.tiktok.com/v/6848036215287991557,6848036215287991557,It's a VW thing. lol #cars #carsoftiktok #volkswagen #jetta #pushtostart #technology #HungerGames #germancars #quirks #funny #unique #foryoupage,Chinese New Year,80900,212,188,1100000,2020-07-11 01:58:02+00:00,"funny, foryoupage, technology, unique, germancars, hungergames, pushtostart, volkswagen, jetta, cars, quirks, carsoftiktok",22
grantknoche,https://m.tiktok.com/v/75873088352960512,75873088352960512,Change The World @kenpsanjose #FeatureMe #Dance #NotMyArmsChallenge @musical.ly ,I'd love to change the world (matstubs remix),80300,221,5,81300,2016-03-20 00:04:28+00:00,"featureme, dance, jetta",10
andretsi_,https://m.tiktok.com/v/7181572341338590469,7181572341338590469,No app vizinho viralizou  #jetta #carros #humor ,som original,79300,721,868,463500,2022-12-26 21:28:36+00:00,"humor, jetta, carros",9
raul_deu_,https://m.tiktok.com/v/7147925757724052741,7147925757724052741,Looking forward to what the future brings! #nissan #350z #nissanz #vq #vqslander #honda #civic #civicsi #volkswagen #vw #gti #golf #jetta #mazda #miata #mx5 #jdm #fyp #xyzbca #xyzcba #ford #truck #blowthisup #speed #mazda3 #subaru #wrxsti #wrx #car #snow #summer #sun #japan #canada #america #europe#joebiden #president #politics #american #press #ej #tiktok #tiktokindia #rota #work #gym #myristorantecreation #lowermainland #xyzbca #fypシ #carmeet #firstcar #dreamcar #lowermainlandcars #averydennison #youliveyoulearn ,beauty of pixar,78900,842,370,637300,2022-09-27 05:22:48+00:00,"wrx, jetta, tiktokindia, averydennison, american, nissan, xyzbca, america, honda, mazda, myristorantecreation, 350z, miata, nissanz, civic, wrxsti, vqslander, dreamcar, summer, vw, volkswagen, rota, europe, carmeet, firstcar, civicsi, mx5, snow, gym, fyp, sun, politics, work, lowermainland, car, gti, jdm, subaru, golf, blowthisup, tiktok, canada, ej, youliveyoulearn, president, vq, japan, fypシ, mazda3, lowermainlandcars, ford, truck, joebiden, xyzcba, speed, press",0
cesarmopar,https://m.tiktok.com/v/7193425665650199814,7193425665650199814,What we driving 😎 #rapidoyfurioso #fastandfurious #jettajesse #eclipsebrian #misjuguetes #sueñosymetas #eclipse #jetta #mk3 #whatwedriving #eleclipsedetiktok #viral #juaritos🇲🇽 ,original sound,78300,198,576,552700,2023-01-27 20:05:31+00:00,"jettajesse, misjuguetes, jetta, eclipse, fastandfurious, juaritos🇲🇽, whatwedriving, rapidoyfurioso, sueñosymetas, eclipsebrian, mk3, viral, eleclipsedetiktok",10
